ym,n,damni,afect,viv_destr
2021-01,5,3.0,778.0,0.0
2021-02,3,60.0,710.0,35.0
2021-03,99,2222.0,19599.0,199.0
2021-04,33,91.0,1520.0,7.0
2021-05,5,12.0,531.0,0.0
2021-06,9,0.0,0.0,0.0
2021-07,2,0.0,0.0,0.0
2021-08,5,0.0,1.0,0.0
2021-09,1,0.0,0.0,0.0
2021-10,3,0.0,0.0,0.0
2021-11,6,0.0,63.0,0.0
2021-12,0,0.0,0.0,0.0
2022-01,5,57.0,276.0,1.0
2022-02,5,88.0,462.0,0.0
2022-03,51,972.0,7559.0,49.0
2022-04,20,241.0,1865.0,15.0
2022-05,2,0.0,77.0,0.0
2022-06,0,0.0,0.0,0.0
2022-07,0,0.0,0.0,0.0
2022-08,0,0.0,0.0,0.0
2022-09,1,5.0,68.0,0.0
2022-10,3,0.0,74.0,0.0
2022-11,0,0.0,0.0,0.0
2022-12,0,0.0,0.0,0.0
2023-01,7,0.0,0.0,0.0
2023-02,3,0.0,0.0,0.0
2023-03,0,0.0,0.0,0.0
2023-04,0,0.0,0.0,0.0
2023-05,0,0.0,0.0,0.0
2023-06,0,0.0,0.0,0.0
2023-07,0,0.0,0.0,0.0
2023-08,0,0.0,0.0,0.0
2023-09,0,0.0,0.0,0.0
2023-10,0,0.0,0.0,0.0
2023-11,0,0.0,0.0,0.0
2023-12,0,0.0,0.0,0.0
