reservorio,anio,mes,agua_ha,cobertura_valida,n_escenas
Poechos,2022,1,532.4485773603134,0.09346423017280182,2
Poechos,2022,2,0,0,1
Poechos,2022,3,5782.468668577523,0.9955056104059496,2
Poechos,2022,4,5846.42431118042,0.9953350903315076,2
Poechos,2022,5,5942.6447264163535,0.9955002877463557,2
Poechos,2022,6,6011.695778891243,0.9955706062576493,2
Poechos,2022,7,6111.151164741811,0.9926701007795792,2
Poechos,2022,8,5966.108827321038,0.9951521633344941,2
Poechos,2022,9,4948.05692323575,0.9561290206414341,2
Poechos,2022,10,4235.081616660158,0.9450001869335577,2
Poechos,2022,11,1630.256827162631,0.614328622734626,2
Poechos,2022,12,2370.756688675848,0.9213068663391876,2
Poechos,2023,1,198.92861249167052,0.31625968659638337,2
Poechos,2023,2,2441.472862534898,0.8578096863508458,1
Poechos,2023,3,2582.19254107051,0.5640777518314505,2
Poechos,2023,4,735.0053796096622,0.0970241209465749,1
Poechos,2023,5,516.3175526794433,0.14442720026875844,2
Poechos,2023,6,3159.600648626709,0.5620240156442574,2
Poechos,2023,7,3258.199525850305,0.6909303639181545,2
Poechos,2023,8,0,0,1
Poechos,2023,9,4705.133390306661,0.9954761292893887,2
Poechos,2023,10,3201.659744385365,0.9949639380763201,2
Poechos,2023,11,0,0,1
Poechos,2023,12,2543.577408368136,0.9941983919930064,2
Poechos,2024,1,1231.4856838377232,0.5838194100260569,2
Poechos,2024,2,602.2887268404612,0.10810558669225179,1
Poechos,2024,3,220.19620312959557,0.19278378852555023,2
Poechos,2024,4,4959.472482143916,0.9955922750819519,2
Poechos,2024,5,4018.805969024466,0.8472442822799958,2
Poechos,2024,6,5325.782549915652,0.9954616802723053,2
Poechos,2024,7,5240.922752178023,0.9955778302977609,2
Poechos,2024,8,4492.3963725688145,0.9954189480430566,2
Poechos,2024,9,2427.124536823803,0.8552076730903192,2
Poechos,2024,10,2062.760566815401,0.9276878933585938,1
Poechos,2024,11,2093.0117353918936,0.959611406435279,2
Poechos,2024,12,2023.5783145055912,0.9873445639982069,2
Poechos,2025,1,4079.604014246063,0.9955922750828834,2
Poechos,2025,2,4120.097583588869,0.9035343637915694,2
Poechos,2025,3,5500.873470109889,0.9636599523622362,2
Poechos,2025,4,1153.9357146606446,0.270302541858984,2
Poechos,2025,5,5138.345411052509,0.763102489369475,2
Poechos,2025,6,2070.682662445068,0.21562040828696183,2
Poechos,2025,7,5746.28700798474,0.995190650919329,2
Poechos,2025,8,0,0,1
Poechos,2025,9,5605.668201846566,0.9706212670865612,2
Poechos,2025,10,5026.718566464963,0.9077190769825222,2
Poechos,2025,11,4576.877767813122,0.9415857163045683,2
Poechos,2025,12,5211.521442493251,0.9937587948457918,2
Poechos,2026,1,4874.331480351204,0.9955700127649533,2
Poechos,2026,2,0,0,2
Poechos,2026,3,1358.1536352766211,0.5178408068651204,2
Poechos,2026,4,1554.3573080517817,0.6130179296947301,2
Poechos,2026,5,5286.222616912892,0.9842721590425118,2
Poechos,2026,6,5523.209087064162,0.9955194554051542,1
Poechos,2026,7,0,0,0
Poechos,2026,8,0,0,0
Poechos,2026,9,0,0,0
Poechos,2026,10,0,0,0
Poechos,2026,11,0,0,0
Poechos,2026,12,0,0,0
San Lorenzo,2013,1,0,0,0
San Lorenzo,2013,2,0,0,0
San Lorenzo,2013,3,0,0,1
San Lorenzo,2013,4,1163.9686658270143,0.8604814204573559,1
San Lorenzo,2013,5,1212.802556970215,0.9955271771364841,2
San Lorenzo,2013,6,1349.8435864812395,0.9955907304410997,4
San Lorenzo,2013,7,1385.9307038152238,0.9955271778438992,4
San Lorenzo,2013,8,1244.3455403686523,0.9955589543046608,4
San Lorenzo,2013,9,947.3554463690065,0.9955589532620398,3
San Lorenzo,2013,10,810.7748876075893,0.9954953970167544,4
San Lorenzo,2013,11,445.79474921875,0.9955271762854094,3
San Lorenzo,2013,12,260.54550157470703,0.9954636250246791,3
San Lorenzo,2014,1,54.710741076660156,0.1956451436330358,2
San Lorenzo,2014,2,281.21809162597657,0.44595124935454206,2
San Lorenzo,2014,3,746.255128308632,0.972680052328063,4
San Lorenzo,2014,4,1156.5784574401855,0.9955907304410997,4
San Lorenzo,2014,5,1058.4718530700684,0.9415859438861203,4
San Lorenzo,2014,6,280.59665153808595,0.20115629482487057,3
San Lorenzo,2014,7,1395.6570614545276,0.9953047404832631,4
San Lorenzo,2014,8,1297.6293531005858,0.9955271765836121,4
San Lorenzo,2014,9,959.7468954223633,0.8583406324962036,4
San Lorenzo,2014,10,974.1828148193359,0.9893942587253394,4
San Lorenzo,2014,11,615.0931162902832,0.9924180348188445,2
San Lorenzo,2014,12,542.1167785949707,0.9955907304410997,4
San Lorenzo,2015,1,616.9641820867082,0.9954636236969155,3
San Lorenzo,2015,2,877.8532047770422,0.9714718558509453,3
San Lorenzo,2015,3,513.4074453142233,0.8110339284757451,3
San Lorenzo,2015,4,1361.4268303889735,0.9414631151135013,2
San Lorenzo,2015,5,26.196573657226562,0.050181346145067106,4
San Lorenzo,2015,6,0,0,3
San Lorenzo,2015,7,398.3934293029785,0.25475697908664796,4
San Lorenzo,2015,8,1318.2856271357518,0.9955589537517887,4
San Lorenzo,2015,9,1075.3143526916504,0.8890765327965728,3
San Lorenzo,2015,10,1006.0818907348632,0.9954953989169799,4
San Lorenzo,2015,11,1.8712258666992188,0.027074071392004014,4
San Lorenzo,2015,12,558.9574006774902,0.9955907304410997,4
San Lorenzo,2016,1,620.3503349975585,0.9952729634108596,4
San Lorenzo,2016,2,752.4029481689453,0.9085553758974682,3
San Lorenzo,2016,3,354.54767611694336,0.367956450147804,3
San Lorenzo,2016,4,1166.9028201993337,0.9867710340589096,4
San Lorenzo,2016,5,1434.4059231093702,0.9955907304410997,3
San Lorenzo,2016,6,1420.580530892693,0.9859891408604469,4
San Lorenzo,2016,7,1309.8371243286133,0.9779908514335856,4
San Lorenzo,2016,8,1205.1370261728323,0.9955907304410997,3
San Lorenzo,2016,9,1024.0806036865235,0.9955589544483204,4
San Lorenzo,2016,10,753.4720092895508,0.9955907304410997,4
San Lorenzo,2016,11,393.57817040405274,0.9955907304410997,4
San Lorenzo,2016,12,251.01133088378907,0.9547304972176233,3
San Lorenzo,2017,1,427.3390205476649,0.9954636215375634,4
San Lorenzo,2017,2,954.5180190163048,0.9356098663152446,3
San Lorenzo,2017,3,382.1026335674929,0.5863903786133232,4
San Lorenzo,2017,4,755.694955078125,0.4664545858961892,4
San Lorenzo,2017,5,0,0.003464447448869859,3
San Lorenzo,2017,6,0,0,3
San Lorenzo,2017,7,1375.7937232800055,0.9285864454275026,4
San Lorenzo,2017,8,1361.9735614791573,0.9950823038887081,4
San Lorenzo,2017,9,1273.642723454877,0.9910784146522013,4
San Lorenzo,2017,10,1059.6329325683594,0.9855175184274994,4
San Lorenzo,2017,11,799.9843854125977,0.9278711566446441,4
San Lorenzo,2017,12,611.3513021850586,0.9696843444590073,3
San Lorenzo,2018,1,807.5583314331054,0.9949234159930566,4
San Lorenzo,2018,2,348.2245786254883,0.5862175254647878,4
San Lorenzo,2018,3,831.5276128051757,0.9538675646690016,4
San Lorenzo,2018,4,685.3916705810547,0.5991913447995514,3
San Lorenzo,2018,5,1153.727085418701,0.9954954013220872,3
San Lorenzo,2018,6,1271.8783418945313,0.9952729651477318,4
San Lorenzo,2018,7,1304.222990423584,0.9955907304409959,4
San Lorenzo,2018,8,1261.72053883667,0.9954000715197069,4
San Lorenzo,2018,9,1179.3887505554198,0.9954636234834988,4
San Lorenzo,2018,10,178.5675383972168,0.4246471167631292,3
San Lorenzo,2018,11,798.2924287780762,0.871899298483674,3
San Lorenzo,2018,12,879.7329467590332,0.9743322970566328,3
San Lorenzo,2019,1,942.0161656188965,0.9904072236841084,4
San Lorenzo,2019,2,567.1500767211915,0.6824356751210597,3
San Lorenzo,2019,3,1339.6907148369285,0.9867379799617929,4
San Lorenzo,2019,4,1202.5563366760255,0.7211970694345291,3
San Lorenzo,2019,5,1417.137945455418,0.9948554864064246,4
San Lorenzo,2019,6,1417.508679926734,0.9955907304409959,4
San Lorenzo,2019,7,1375.2529619300753,0.9955907304409959,4
San Lorenzo,2019,8,1318.7277841060622,0.9955589534055956,3
San Lorenzo,2019,9,1206.5648762817382,0.9955907304409959,4
San Lorenzo,2019,10,1020.1600782409668,0.9954318441408373,4
San Lorenzo,2019,11,814.9326844203337,0.9722026587323521,4
San Lorenzo,2019,12,985.1426085998535,0.953105225605747,4
